=== SPH GPU MEMORY DIAGNOSTIC ===
Total Particles: 20129
NaN (Corrupted) Particles: 0
Max Velocity: 2.26342 m/s
Density Range: [322.517, 16173.5]
System Kinetic Energy: 714.455 J
=================================

--- INDIVIDUAL PARTICLE DATA ---
Format: [Index] Pos(x,y,z) | Vel(x,y,z) | Density | Pressure
[0] P(-1, 1.40336, 0.523772) | V(0.0613889, 0.0907065, -0.0195513) | D:10857.5 | Pr:49287.3
[1] P(-1, 1.40336, 0.523772) | V(0.0613889, 0.0907065, -0.0195513) | D:10857.5 | Pr:49287.3
[2] P(-1, 1.40336, 0.523772) | V(0.0613889, 0.0907065, -0.0195513) | D:10857.5 | Pr:49287.3
[3] P(-1, 1.40336, 0.523772) | V(0.0613889, 0.0907065, -0.0195513) | D:10857.5 | Pr:49287.3
[4] P(-1, 1.40336, 0.523772) | V(0.0613889, 0.0907065, -0.0195513) | D:10857.5 | Pr:49287.3
[5] P(-1, 1.40336, 0.523772) | V(0.0613889, 0.0907065, -0.0195513) | D:10857.5 | Pr:49287.3
[6] P(-0.687085, 1.3, 1) | V(0.508498, 0.127007, -0.0820733) | D:14166.2 | Pr:65830.9
[7] P(0.293548, 1.55377, -0.0693657) | V(0.11744, -0.0172776, 0.14997) | D:4792.56 | Pr:18962.8
[8] P(0.171452, 1.54084, 0.489386) | V(-0.00110018, 0.050452, -0.137329) | D:5324.88 | Pr:21624.4
[9] P(0.630004, 1.3, 0.224683) | V(0.00518491, 0.118276, 0.0516352) | D:12116.7 | Pr:55583.7
[10] P(-0.421669, 1.3, -1) | V(-0.22688, 0.11748, 0.0810307) | D:13918.1 | Pr:64590.5
[11] P(1, 1.71254, 0.528969) | V(-0.0304204, -0.0582294, 0.0480853) | D:3250.22 | Pr:11251.1
[12] P(0.885779, 1.3, -1) | V(-0.132774, 0.130426, 0.081603) | D:14473.8 | Pr:67369
[13] P(0.190459, 1.3, 1) | V(0.00447877, 0.124541, -0.0813585) | D:13932.8 | Pr:64664.1
[14] P(-0.10302, 1.60017, 0.33772) | V(0.595199, -0.184118, 0.0250099) | D:4074.26 | Pr:15371.3
[15] P(0.753167, 1.3, -0.492051) | V(-0.00292946, 0.116073, 0.00671795) | D:12349 | Pr:56744.8
[16] P(0.0365591, 1.3, -0.790377) | V(-0.109166, 0.112545, -0.000506276) | D:12528.6 | Pr:57642.9
[17] P(-1, 1.89076, 0.751197) | V(0.0111401, 0.325761, 0.5643) | D:1888.44 | Pr:4442.18
[18] P(-0.622389, 1.3, -0.463326) | V(0.0293408, 0.110835, 0.0369679) | D:12468.4 | Pr:57341.9
[19] P(-0.629317, 1.3, 0.640251) | V(-0.109377, 0.113777, -0.0428521) | D:12183.1 | Pr:55915.5
[20] P(-0.539376, 1.65634, 0.330233) | V(0.0830418, -0.254363, 0.208049) | D:3146.32 | Pr:10731.6
[21] P(0.421729, 1.3, -0.541914) | V(-0.0378112, 0.114985, 0.00167024) | D:12195.3 | Pr:55976.6
[22] P(-0.735187, 1.3, 1) | V(0.137049, 0.125425, -0.0801196) | D:14174.9 | Pr:65874.6
[23] P(-0.480613, 1.3, -0.41675) | V(-0.0217638, 0.114775, 0.0634047) | D:12325.3 | Pr:56626.5
[24] P(-0.819374, 1.3, -0.0956779) | V(0.105995, 0.113277, -0.0262343) | D:11981.8 | Pr:54908.8
[25] P(-0.531245, 1.41656, 0.77317) | V(-0.000766902, 0.0549631, -0.0453653) | D:8312.25 | Pr:36561.2
[26] P(-0.531245, 1.41656, 0.77317) | V(-0.000766902, 0.0549631, -0.0453653) | D:8312.25 | Pr:36561.2
[27] P(-0.531245, 1.41656, 0.77317) | V(-0.000766902, 0.0549631, -0.0453653) | D:8312.25 | Pr:36561.2
[28] P(-0.531245, 1.41656, 0.77317) | V(-0.000766902, 0.0549631, -0.0453653) | D:8312.25 | Pr:36561.2
[29] P(-0.531245, 1.41656, 0.77317) | V(-0.000766902, 0.0549631, -0.0453653) | D:8312.25 | Pr:36561.2
[30] P(-1, 1.78914, -0.759652) | V(0.0209013, 0.0719043, -0.32787) | D:2605.45 | Pr:8027.27
[31] P(0.286558, 1.66664, 0.306798) | V(-0.166504, -0.296446, -0.326357) | D:2914.29 | Pr:9571.43
[32] P(0.458779, 1.3, -0.179622) | V(0.0283575, 0.114087, -0.0149455) | D:12042.2 | Pr:55211
[33] P(0.458779, 1.3, -0.179622) | V(0.0283575, 0.114087, -0.0149455) | D:12042.2 | Pr:55211
[34] P(0.458779, 1.3, -0.179622) | V(0.0283575, 0.114087, -0.0149455) | D:12042.2 | Pr:55211
[35] P(0.458779, 1.3, -0.179622) | V(0.0283575, 0.114087, -0.0149455) | D:12042.2 | Pr:55211
[36] P(-0.0673903, 1.40808, -0.89673) | V(0.166425, -0.165442, 0.140024) | D:8927.53 | Pr:39637.7
[37] P(-0.842738, 1.79877, -0.00293417) | V(0.14945, 0.138803, 0.12698) | D:1644.54 | Pr:3222.72
[38] P(-0.754348, 1.56986, 0.112895) | V(-0.0185511, 0.0943165, 0.0363468) | D:4780.84 | Pr:18904.2
[39] P(-0.436076, 1.3, -0.156779) | V(-0.00895047, 0.112133, -0.08448) | D:12103.4 | Pr:55517
[40] P(-1, 1.44497, 1) | V(0.104415, 0.0354912, -0.110015) | D:8441.39 | Pr:37206.9
[41] P(0.249095, 1.57837, -0.206104) | V(0.0183088, -0.148979, -0.193831) | D:4149.41 | Pr:15747.1
[42] P(0.390125, 1.71998, -0.473828) | V(0.200129, 0.0480054, 0.404439) | D:2488 | Pr:7440
[43] P(0.0862625, 1.3, -0.427611) | V(0.00395193, 0.112563, -0.0683136) | D:11714.8 | Pr:53574
[44] P(1, 1.3, -0.648845) | V(-0.0792829, 0.121395, -0.124733) | D:13430.7 | Pr:62153.6
[45] P(0.640548, 1.3, -0.365365) | V(0.051469, 0.113803, -0.0319258) | D:12142 | Pr:55710
[46] P(-0.274246, 1.43633, -0.905122) | V(0.0705857, 0.00283595, 0.0495383) | D:7924.72 | Pr:34623.6
[47] P(-0.867742, 1.3, -0.919825) | V(-0.173721, 0.115643, 0.24521) | D:13667.5 | Pr:63337.4
[48] P(1, 1.41455, -0.918776) | V(-0.0731717, -0.0956848, 0.0765753) | D:10546.1 | Pr:47730.3
[49] P(1, 1.3, -1) | V(-0.142224, 0.136057, 0.148857) | D:14017.5 | Pr:65087.4
[50] P(-0.31875, 1.3, 0.653678) | V(0.0530316, 0.109739, 0.0161359) | D:12140.9 | Pr:55704.3
[51] P(0.671102, 1.3, -1) | V(-0.286286, 0.123486, 0.0824) | D:13830.2 | Pr:64151.1
[52] P(0.0876597, 1.41793, -0.595545) | V(0.0209469, 0.0664318, -0.09492) | D:8170.67 | Pr:35853.4
[53] P(0.753553, 1.56433, -0.665917) | V(0.00126495, 0.136428, -0.00588344) | D:4727.63 | Pr:18638.1
[54] P(-0.680685, 1.3, -0.766043) | V(0.0694463, 0.113567, -0.0327558) | D:11839.5 | Pr:54197.3
[55] P(-0.703356, 1.3, -0.24996) | V(0.0140721, 0.115069, 0.0281486) | D:12262.7 | Pr:56313.4
[56] P(-0.703356, 1.3, -0.24996) | V(0.0140721, 0.115069, 0.0281486) | D:12262.7 | Pr:56313.4
[57] P(-0.703356, 1.3, -0.24996) | V(0.0140721, 0.115069, 0.0281486) | D:12262.7 | Pr:56313.4
[58] P(-0.200537, 1.3, -0.461424) | V(0.0210237, 0.11458, -0.026209) | D:11729.3 | Pr:53646.6
[59] P(-1, 1.3, -0.628964) | V(0.0863399, 0.128131, 0.323066) | D:14045.1 | Pr:65225.5
[60] P(-0.684465, 1.45701, 0.49194) | V(-0.043741, 0.128995, 0.203954) | D:7090.55 | Pr:30452.8
[61] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[62] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[63] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[64] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[65] P(-0.282318, 1.3, -0.0312957) | V(-0.00340147, 0.114379, -0.0161808) | D:12054.5 | Pr:55272.4
[66] P(0.0504904, 1.73211, -0.755771) | V(-0.08913, 0.0366187, 0.0973744) | D:2212.48 | Pr:6062.42
[67] P(0.187834, 1.3, 0.53333) | V(0.0231964, 0.112563, 0.00526975) | D:12094.9 | Pr:55474.7
[68] P(0.761117, 1.85833, 0.524338) | V(0.127751, 0.0529881, -0.27844) | D:1429.12 | Pr:2145.61
[69] P(-1, 1.3, -0.904978) | V(0.0795684, 0.127942, -0.852645) | D:13833.6 | Pr:64168
[70] P(0.4766, 1.3, 0.682976) | V(-0.0188638, 0.114341, -0.0335917) | D:12069.6 | Pr:55348.1
[71] P(-0.486684, 1.69885, -0.389908) | V(-0.00361232, -0.0716067, 0.445287) | D:2555.62 | Pr:7778.1
[72] P(-1, 1.3, 0.752888) | V(0.0792853, 0.113556, -0.682686) | D:13974.8 | Pr:64873.9
[73] P(-1, 1.3, -0.671846) | V(0.0870833, 0.128413, -1.0344) | D:14023.2 | Pr:65116.1
[74] P(-0.718558, 1.3, 0.422302) | V(-0.0165542, 0.114051, -0.0540058) | D:12146.1 | Pr:55730.7
[75] P(-0.206396, 1.56307, 0.890938) | V(-0.0805703, 0.0639856, -0.269628) | D:5033.17 | Pr:20165.9
[76] P(-0.718558, 1.3, 0.422302) | V(-0.0165542, 0.114051, -0.0540058) | D:12146.1 | Pr:55730.7
[77] P(0.761117, 1.85833, 0.524338) | V(0.127751, 0.0529881, -0.27844) | D:1429.12 | Pr:2145.61
