RadiusFromCore,Density,Pressure,VelocityMagnitude
1.10771,171499,16949.9,0.0321832
1.07687,1.26702e+06,126502,0.0337111
1.13519,229656,22765.6,0.0328172
1.07796,2.30829e+06,230629,0.0296478
1.12359,292987,29098.7,0.0331957
1.1373,99423.7,9742.37,0.0295055
1.10557,175486,17348.6,0.0301283
1.08995,181911,17991.1,0.0336483
1.10757,42248.1,4024.81,0.0314535
1.11251,577484,57548.4,0.0246075
1.05729,406255,40425.5,0.02959
1.13759,228089,22608.9,0.030808
1.07687,1.27598e+06,127398,0.0312532
1.09522,965325,96332.5,0.0404587
1.08239,498725,49672.5,0.0300888
1.07167,1.28175e+06,127975,0.0314439
1.06821,1.22973e+06,122773,0.0275206
1.16605,32523,3052.3,0.0274843
1.08343,1.24679e+06,124479,0.0282739
1.07697,2.61495e+06,261295,0.0302863
1.07079,2.65087e+06,264887,0.0293107
1.09169,134548,13254.8,0.0263756
1.10205,388601,38660.1,0.0290882
1.1231,577636,57563.6,0.0299272
1.07236,2.35025e+06,234825,0.0293944
1.12014,55610.1,5361.01,0.0309556
1.09342,278375,27637.5,0.0325315
1.08969,177265,17526.5,0.0274443
1.13133,337023,33502.3,0.0305031
1.076,1.13778e+06,113578,0.0296831
1.09837,59601.3,5760.13,0.0436312
1.07233,1.08012e+06,107812,0.0297458
1.13454,334907,33290.7,0.0323115
1.13298,98377.1,9637.71,0.0317913
1.0879,2.14009e+06,213809,0.030678
1.06071,868145,86614.5,0.0296513
1.11828,109280,10728,0.0297861
1.07986,223476,22147.6,0.0279411
1.10801,625988,62398.8,0.0277384
1.07801,939918,93791.8,0.0293473
1.0954,154606,15260.6,0.0300014
1.10009,67101.1,6510.11,0.0283625
1.07469,38896.4,3689.64,0.028945
1.12668,183489,18148.9,0.02991
1.08661,195299,19329.9,0.0315911
1.12675,369758,36775.9,0.0327459
1.10299,1.19865e+06,119665,0.0301491
1.14729,111904,10990.4,0.0327302
1.12398,495822,49382.2,0.0316578
1.09581,956050,95405,0.0325584
1.0941,166670,16467,0.0311081
1.07645,1.16188e+06,115988,0.0287062
1.12675,454580,45258,0.0296921
1.07268,2.08272e+06,208072,0.0322608
1.07656,1.11315e+06,111115,0.029229
1.10349,628988,62698.8,0.0298311
1.11601,203254,20125.4,0.0287985
1.13519,36778.5,3477.85,0.0294366
1.13287,308312,30631.2,0.0429635
1.145,46997.8,4499.78,0.0276421
1.08586,268949,26694.9,0.0280684
1.14624,51933.6,4993.36,0.0307697
1.07821,851293,84929.3,0.0270594
1.06926,789153,78715.3,0.0299616
1.11888,503192,50119.2,0.0307573
1.08686,744348,74234.9,0.0342068
1.08623,2.79616e+06,279416,0.0299171
1.0951,786616,78461.6,0.0311328
1.06591,451862,44986.2,0.0295648
1.063,2.49083e+06,248883,0.0291763
1.06461,142783,14078.3,0.0304189
1.10491,969544,96754.4,0.0277561
1.07805,245989,24398.9,0.0308045
1.07364,430218,42821.8,0.0301903
1.08406,344660,34266,0.0294007
1.09363,1.15107e+06,114907,0.0294205
1.13088,237939,23593.9,0.0283189
1.09647,66292.3,6429.23,0.0288535
1.08853,201923,19992.3,0.0309695
1.11721,300084,29808.4,0.0283387
1.08106,210384,20838.4,0.0313865
1.11138,131960,12996,0.030298
1.08386,941238,93923.8,0.028925
1.10276,223590,22159,0.0279868
1.07128,698942,69694.2,0.0291477
1.07622,1.17844e+06,117644,0.0280567
1.10125,246644,24464.4,0.0340842
1.11442,25745,2374.5,0.0271628
1.10862,323024,32102.4,0.0361347
1.13627,248544,24654.4,0.0292561
1.07568,1.51427e+06,151227,0.0310399
1.12953,25275.6,2327.56,0.0270166
1.1513,24479.4,2247.94,0.027151
1.13678,248077,24607.7,0.0317229
1.07838,808362,80636.2,0.0277893
1.12393,603458,60145.9,0.0293671
1.14748,24533.6,2253.36,0.0271238
1.07798,288438,28643.8,0.0274278
1.0856,727813,72581.3,0.0286398
1.13165,322658,32065.8,0.0316035
1.11113,48560.5,4656.05,0.0304451
1.10965,1.15316e+06,115116,0.0279185
1.07263,188809,18680.9,0.031535
1.12516,48174.2,4617.42,0.0311418
1.11377,49906.5,4790.65,0.029135
1.14377,52668.9,5066.89,0.0290937
1.10125,1.57339e+06,157139,0.028132
1.06464,2.00564e+06,200364,0.0312402
1.07023,622880,62088.1,0.0295369
1.06988,928690,92669,0.0271274
1.06881,645009,64300.9,0.029623
